timestamp	x	y	z	qw	qx	qy	qz
1762766080.142210	-4.245389	-2.516213	-3.266578	0.049811	-0.001504	-0.008330	-0.998723
1762766080.342446	-4.263136	-2.368220	-3.274984	0.049862	-0.000929	-0.016830	-0.998614
1762766080.543004	-4.280685	-2.235481	-3.283635	0.049963	-0.000237	-0.024500	-0.998451
1762766080.743027	-4.297732	-2.119969	-3.292213	0.050118	0.000403	-0.031086	-0.998259
1762766080.943848	-4.313230	-2.028936	-3.300047	0.050290	0.001038	-0.036180	-0.998079
1762766081.143644	-4.326479	-1.966371	-3.306639	0.050459	0.001657	-0.039869	-0.997929
1762766081.344377	-4.336578	-1.935557	-3.311493	0.050587	0.002274	-0.041589	-0.997851
1762766081.544147	-4.343679	-1.936208	-3.314691	0.050685	0.002720	-0.041531	-0.997847
1762766081.744950	-4.346854	-1.969656	-3.315906	0.050742	0.003017	-0.039496	-0.997926
1762766081.944614	-4.346117	-2.032905	-3.315325	0.050749	0.003210	-0.035886	-0.998061
1762766082.145350	-4.341530	-2.123441	-3.313203	0.050701	0.003337	-0.030762	-0.998234
1762766082.345275	-4.333055	-2.239225	-3.309815	0.050619	0.003230	-0.024346	-0.998416
1762766082.545575	-4.321255	-2.371896	-3.305682	0.050553	0.003090	-0.016943	-0.998573
1762766082.746055	-4.305952	-2.521872	-3.300996	0.050499	0.002825	-0.008273	-0.998686
1762766082.946084	-4.288578	-2.673774	-3.296454	0.050479	0.002426	0.000398	-0.998722
1762766083.147135	-4.269076	-2.827477	-3.292062	0.050479	0.001809	0.009174	-0.998681
1762766083.346679	-4.248824	-2.971708	-3.288234	0.050532	0.001053	0.017424	-0.998570
1762766083.547336	-4.228125	-3.104986	-3.268927	0.050635	0.000200	0.025044	-0.998403
1762766083.747461	-4.208443	-3.219613	-3.196994	0.050786	-0.000651	0.031715	-0.998206
1762766083.947969	-4.190078	-3.313536	-3.084582	0.050947	-0.001545	0.036962	-0.998016
1762766084.148371	-4.174752	-3.377743	-2.963575	0.051077	-0.002329	0.040105	-0.997886
1762766084.348498	-4.162109	-3.413869	-2.826663	0.051170	-0.003007	0.041738	-0.997813
1762766084.548366	-4.153733	-3.417335	-2.684199	0.051219	-0.003558	0.041700	-0.997810
1762766084.749014	-4.149612	-3.388968	-2.531163	0.051218	-0.003990	0.039897	-0.997882
1762766084.949081	-4.150125	-3.330862	-2.373683	0.051157	-0.004194	0.036433	-0.998017
1762766085.149465	-4.155227	-3.245345	-2.211253	0.051044	-0.004215	0.031449	-0.998192
1762766085.349637	-4.164917	-3.134297	-2.043087	0.050898	-0.003997	0.025078	-0.998381
1762766085.549962	-4.178983	-3.001659	-1.870791	0.050741	-0.003516	0.017581	-0.998551
1762766085.750208	-4.195792	-2.861620	-1.706038	0.050619	-0.002996	0.009680	-0.998667
1762766085.950564	-4.215827	-2.709973	-1.537461	0.050564	-0.002154	-0.000160	-0.998719
1762766086.150656	-4.236934	-2.561155	-1.372223	0.050921	0.006325	-0.041771	-0.997809
1762766086.351597	-4.250214	-2.444211	-1.212908	0.071551	0.026878	-0.060419	-0.995242
1762766086.551409	-4.240149	-2.369606	-1.051551	0.158433	0.032811	-0.046554	-0.985726
1762766086.751601	-4.199855	-2.327138	-0.891889	0.309811	0.020913	-0.020102	-0.950355
1762766086.951971	-4.140546	-2.296557	-0.738367	0.486793	-0.008297	0.005031	-0.873463
1762766087.152647	-4.087695	-2.265081	-0.584552	0.630507	-0.037377	0.036729	-0.774413
1762766087.352510	-4.073603	-2.231884	-0.439860	0.713910	-0.032412	0.035082	-0.698606
1762766087.553006	-4.097040	-2.196300	-0.296077	0.761746	-0.022062	0.017641	-0.647260
1762766087.753163	-4.143072	-2.166454	-0.199924	0.784767	-0.011314	0.001877	-0.619685
1762766087.953414	-4.198469	-2.142368	-0.155028	0.795218	-0.001025	-0.011170	-0.606220
1762766088.153880	-4.248675	-2.124404	-0.131873	0.798033	0.003098	-0.016167	-0.602389
1762766088.354577	-4.284948	-2.113122	-0.122900	0.796682	0.003632	-0.016485	-0.604162
1762766088.554309	-4.310665	-2.106989	-0.127699	0.793038	0.003717	-0.016030	-0.608950
1762766088.755162	-4.323513	-2.104795	-0.148403	0.788659	0.021029	-0.012645	-0.614341
1762766088.954864	-4.316289	-2.097134	-0.216171	0.785183	0.022625	-0.017081	-0.618614
1762766089.155045	-4.283161	-2.082481	-0.370686	0.783560	0.019403	-0.019885	-0.620695
1762766089.355496	-4.227585	-2.065568	-0.585511	0.784354	-0.007741	-0.000207	-0.620265
1762766089.555771	-4.173465	-2.053052	-0.814499	0.786410	-0.024721	0.013522	-0.617061
1762766089.756119	-4.136173	-2.047964	-1.004411	0.790000	-0.012008	0.005318	-0.612966
1762766089.956339	-4.106525	-2.046951	-1.132434	0.793381	0.009138	-0.009522	-0.608582
1762766090.156544	-4.064214	-2.044095	-1.228824	0.793794	0.060790	-0.047700	-0.603258
1762766090.356914	-3.965628	-2.026402	-1.314643	0.789116	0.116201	-0.088806	-0.596580
1762766090.557254	-3.760680	-1.979535	-1.377874	0.789787	0.113382	-0.086053	-0.596638
1762766090.757413	-3.467846	-1.907444	-1.405012	0.792534	0.085880	-0.064514	-0.600293
1762766090.957633	-3.089957	-1.811407	-1.403886	0.793111	0.066493	-0.049033	-0.603448
1762766091.158616	-2.659737	-1.699831	-1.378681	0.792596	0.056349	-0.040810	-0.605765
1762766091.358202	-2.174261	-1.571911	-1.332389	0.792162	0.049113	-0.034975	-0.607325
1762766091.558595	-1.654773	-1.433177	-1.270391	0.792277	0.042255	-0.029728	-0.607970
1762766091.758839	-1.092260	-1.281245	-1.195577	0.793399	0.023729	-0.016059	-0.608027
1762766091.959128	-0.513814	-1.123694	-1.116320	0.793972	-0.032266	0.025587	-0.606559
1762766092.159516	0.021956	-0.977162	-1.046000	0.789499	-0.099586	0.075926	-0.600840
1762766092.359763	0.465028	-0.856178	-0.987952	0.783117	-0.146981	0.111580	-0.593864
1762766092.560022	0.766808	-0.774671	-0.927683	0.787325	-0.126872	0.096379	-0.595596
1762766092.760296	0.941527	-0.728756	-0.865335	0.792790	-0.089447	0.067925	-0.599057
1762766092.960453	1.028637	-0.707388	-0.810311	0.794834	-0.057073	0.047258	-0.602286
1762766093.160626	1.056337	-0.699497	-0.768260	0.781528	-0.039234	0.043503	-0.621114
1762766093.361037	1.035178	-0.695777	-0.742705	0.739791	-0.042477	0.039012	-0.670361
1762766093.561226	0.968826	-0.696815	-0.732813	0.685740	-0.029879	0.009292	-0.727173
1762766093.762166	0.877920	-0.708731	-0.739157	0.641500	-0.018585	-0.006862	-0.766867
1762766093.962156	0.780527	-0.733371	-0.759132	0.612633	-0.018313	-0.003937	-0.790146
1762766094.162118	0.669966	-0.770010	-0.790918	0.589686	-0.022188	0.007559	-0.807293
1762766094.362574	0.542318	-0.812460	-0.830497	0.560933	-0.017571	0.010092	-0.827613
1762766094.563076	0.399834	-0.856725	-0.874677	0.533546	-0.001150	-0.003615	-0.845762
1762766094.762875	0.261541	-0.902157	-0.919247	0.515366	0.011786	-0.010103	-0.856830
1762766094.963588	0.131898	-0.949913	-0.963403	0.500202	0.015867	-0.004439	-0.865752
1762766095.163470	0.012719	-0.995098	-1.004592	0.470179	0.019068	0.003836	-0.882357
1762766095.363868	-0.093729	-1.031235	-1.040109	0.420364	0.030863	-0.000936	-0.906830
1762766095.564688	-0.178690	-1.058907	-1.068405	0.368707	0.046443	-0.015014	-0.928263
1762766095.764347	-0.224741	-1.082233	-1.086315	0.334473	0.052819	-0.016269	-0.940784
1762766095.964528	-0.230948	-1.103678	-1.094593	0.314482	0.051072	-0.007446	-0.947859
1762766096.165109	-0.197763	-1.118562	-1.093336	0.293995	0.043261	0.006485	-0.954806
1762766096.365659	-0.135960	-1.118801	-1.084118	0.246167	0.038676	0.018986	-0.968269
1762766096.565682	-0.043316	-1.097752	-1.067040	0.157800	0.038081	0.015508	-0.986615
1762766096.766142	0.070304	-1.062541	-1.045539	0.063098	0.034021	-0.003199	-0.997422
1762766096.966051	0.213274	-1.026306	-1.019779	0.010460	-0.026087	0.014464	0.999500
1762766097.166247	0.373978	-1.000485	-0.992809	0.054170	-0.015481	0.006215	0.998392
1762766097.367030	0.546323	-0.979947	-0.966403	0.078563	-0.004687	-0.007261	0.996872
1762766097.566815	0.728463	-0.952367	-0.941473	0.114084	0.001592	-0.029968	0.993018
1762766097.767293	0.909089	-0.903209	-0.920051	0.183472	0.010367	-0.024775	0.982658
1762766097.967330	1.081301	-0.836106	-0.903456	0.253954	0.027534	0.014369	0.966718
1762766098.167852	1.232795	-0.771897	-0.891952	0.302733	0.036375	0.034708	0.951748
1762766098.368453	1.347412	-0.724621	-0.885292	0.329869	0.038348	0.031106	0.942735
1762766098.569309	1.427649	-0.689520	-0.883447	0.342634	0.038933	0.023669	0.938363
1762766098.769112	1.470058	-0.662270	-0.886739	0.346331	0.043939	0.005949	0.937064
1762766098.969142	1.476477	-0.625584	-0.897136	0.344677	0.083421	-0.032064	0.934457
1762766099.169460	1.428103	-0.543119	-0.916733	0.337256	0.133588	-0.050928	0.930494
1762766099.370059	1.298389	-0.390880	-0.934113	0.330145	0.129427	-0.039779	0.934168
1762766099.570024	1.077851	-0.168978	-0.944745	0.325283	0.105737	-0.028652	0.939250
1762766099.770192	0.792466	0.095325	-0.951374	0.323171	0.087948	-0.023054	0.941963
1762766099.970430	0.443189	0.403186	-0.956592	0.324067	0.075759	-0.019317	0.942798
1762766100.171004	0.049074	0.739120	-0.960806	0.327606	0.066220	-0.015773	0.942359
1762766100.371036	-0.387987	1.102252	-0.964183	0.332716	0.057335	-0.012110	0.941204
1762766100.571644	-0.876815	1.499589	-0.966866	0.338193	0.048198	-0.008941	0.939799
1762766100.771577	-1.382473	1.903062	-0.968884	0.342495	0.039342	-0.006743	0.938671
1762766100.971857	-1.920813	2.326370	-0.970582	0.345194	0.025401	-0.003593	0.938181
1762766101.172324	-2.464179	2.749555	-0.972906	0.351045	-0.017929	0.004104	0.936178
1762766101.373103	-2.995427	3.164144	-0.976612	0.369285	-0.046952	0.010169	0.928073
1762766101.572862	-3.506816	3.564965	-0.984970	0.390800	-0.103189	0.036204	0.913956
1762766101.773336	-3.930096	3.888676	-1.001519	0.402256	-0.163644	0.056903	0.898984
1762766101.973308	-4.272186	4.133007	-1.013678	0.410297	-0.161765	0.050010	0.896096
1762766102.174855	-4.505308	4.281559	-1.011490	0.415598	-0.132983	0.035895	0.899058
1762766102.374222	-4.656427	4.361203	-1.000046	0.418455	-0.101645	0.024224	0.902207
1762766102.574525	-4.745864	4.390818	-0.983651	0.419611	-0.067332	0.013481	0.905103
1762766102.774691	-4.787585	4.385832	-0.967133	0.418979	-0.055399	0.008950	0.906260
1762766102.975171	-4.791657	4.355876	-0.952312	0.417542	-0.055990	0.007440	0.906900
1762766103.175626	-4.758882	4.302633	-0.938948	0.415952	-0.054043	0.005590	0.907762
1762766103.375370	-4.689113	4.226747	-0.926928	0.406754	-0.043987	0.007516	0.912447
1762766103.575595	-4.589664	4.131125	-0.917111	0.373467	-0.032317	0.009673	0.927030
1762766103.775912	-4.470304	4.021386	-0.910224	0.326185	-0.026083	-0.003655	0.944939
1762766103.976209	-4.329071	3.905893	-0.906330	0.286433	-0.017846	-0.016933	0.957784
1762766104.176588	-4.173461	3.800027	-0.905625	0.260344	-0.004379	-0.018246	0.965334
1762766104.376680	-4.009027	3.704965	-0.908260	0.236156	0.013790	-0.007086	0.971592
1762766104.577313	-3.853043	3.619160	-0.914204	0.201514	0.024942	-0.010211	0.979115
1762766104.777634	-3.716588	3.546906	-0.922752	0.172614	0.031692	-0.025068	0.984160
